0.0000000000000000	1.851666666666666e+1
5.000000000000000e+0	1.435666666666667e+1
1.000000000000000e+1	1.182666666666667e+1
1.500000000000000e+1	1.039333333333333e+1
2.000000000000000e+1	9.413333333333333e+0
3.000000000000000e+1	8.420000000000000e+0
4.000000000000000e+1	7.943333333333333e+0
5.000000000000000e+1	7.773333333333333e+0
6.000000000000000e+1	7.646666666666667e+0
6.100000000000000e+1	1.135333333333333e+1
6.500000000000000e+1	1.235000000000000e+1
7.000000000000000e+1	1.255333333333333e+1
8.000000000000000e+1	1.248666666666667e+1
