0.0000000000000000	1.831428571428571e+1	1.816825396825397e+1
5.000000000000000e+0	1.160634920634921e+1	1.489841269841270e+1
1.000000000000000e+1	8.292063492063493e+0	1.377777777777778e+1
1.500000000000000e+1	6.577777777777778e+0	1.341904761904762e+1
2.000000000000000e+1	5.682539682539682e+0	1.331428571428571e+1
3.000000000000000e+1	4.904761904761905e+0	1.333650793650794e+1
4.000000000000000e+1	4.600000000000001e+0	1.340952380952381e+1
5.000000000000000e+1	4.463492063492064e+0	1.345079365079365e+1
6.000000000000000e+1	4.415873015873016e+0	1.334920634920635e+1
6.100000000000000e+1	1.133333333333333e+1	1.338095238095238e+1
6.500000000000000e+1	1.294920634920635e+1	1.340952380952381e+1
7.000000000000000e+1	1.310476190476191e+1	1.335873015873016e+1
8.000000000000000e+1	1.311428571428572e+1	1.328571428571429e+1
