0.0000000000000000	1.938333333333333e+1
5.000000000000000e+0	1.599000000000000e+1
1.000000000000000e+1	1.420000000000000e+1
1.500000000000000e+1	1.333666666666667e+1
2.000000000000000e+1	1.273000000000000e+1
3.000000000000000e+1	1.207666666666667e+1
4.000000000000000e+1	1.176000000000000e+1
5.000000000000000e+1	1.134000000000000e+1
6.000000000000000e+1	1.125666666666667e+1
6.100000000000000e+1	1.311333333333334e+1
6.500000000000000e+1	1.359666666666667e+1
7.000000000000000e+1	1.368333333333333e+1
8.000000000000000e+1	1.357666666666667e+1
